SL. NO,DEPOT,DATE,EMP_ID,VEH_NO,TYPE,SER_NO,KMS,ENGS,D/N_OUT,SCHS.,LONG TYPE,ROUTE,HOURS,DOUBLE_DUTY
12425,MAHABOOBABAD,24-05-2023,651803,AP36Z0030,OR,GN03,370,16146,N,1,PALLEVELUGU,NGRM-WGL,14,0
12426,MAHABOOBABAD,28-05-2023,651803,AP36Z0030,OR,GN03,360,14114,N,1,PALLEVELUGU,NGRM-WGL,14,0
12427,MAHABOOBABAD,31-05-2023,651803,AP36Z0030,OR,GN03,370,20760,N,1,PALLEVELUGU,NGRM-WGL,14,0
12428,MAHABOOBABAD,04-06-2023,651803,AP36Z0030,OR,GN03,360,17280,N,1,PALLEVELUGU,NGRM-WGL,14,0
12429,MAHABOOBABAD,07-06-2023,651803,AP36Z0030,OR,GN03,370,21654,N,1,PALLEVELUGU,NGRM-WGL,14,0
12430,MAHABOOBABAD,11-06-2023,651803,AP36Z0030,OR,GN03,360,18262,N,1,PALLEVELUGU,NGRM-WGL,14,0
12431,MAHABOOBABAD,14-06-2023,651803,AP36Z0030,OR,GN03,360,14292,N,1,PALLEVELUGU,NGRM-WGL,14,0
12432,MAHABOOBABAD,18-06-2023,651803,AP36Z0030,OR,GN03,360,13312,N,1,PALLEVELUGU,NGRM-WGL,14,0
12433,MAHABOOBABAD,30-07-2023,651803,AP36Z0030,OR,GN03,360,6648,N,1,PALLEVELUGU,NGRM-WGL,14,0
12434,MAHABOOBABAD,06-08-2023,651803,AP36Z0030,OR,GN03,360,9756,N,1,PALLEVELUGU,NGRM-WGL,14,0
12435,MAHABOOBABAD,09-08-2023,651803,AP36Z0030,OR,GN03,360,10900,N,1,PALLEVELUGU,NGRM-WGL,14,0
12436,MAHABOOBABAD,13-08-2023,651803,AP36Z0165,OR,GN03,360,10552,N,1,PALLEVELUGU,NGRM-WGL,14,0
12437,MAHABOOBABAD,16-08-2023,651803,AP36Z0031,OR,GN03,370,12832,N,1,PALLEVELUGU,NGRM-WGL,14,0
12438,MAHABOOBABAD,20-08-2023,651803,AP36Z0165,OR,GN03,360,10846,N,1,PALLEVELUGU,NGRM-WGL,14,0
12439,MAHABOOBABAD,23-08-2023,651803,AP36Z0165,OR,GN03,360,11408,N,1,PALLEVELUGU,NGRM-WGL,14,0
12440,MAHABOOBABAD,26-08-2023,651803,AP36Z0030,OR,GN03,230,6002,N,1,PALLEVELUGU,NGRM-WGL,14,0
12441,MAHABOOBABAD,30-08-2023,651803,AP36Z0165,OR,GN03,360,13040,N,1,PALLEVELUGU,NGRM-WGL,14,0
12442,MAHABOOBABAD,03-09-2023,651803,AP36Z0165,OR,GN03,360,11128,N,1,PALLEVELUGU,NGRM-WGL,14,0
12443,MAHABOOBABAD,06-09-2023,651803,AP36Z0165,OR,GN03,360,15544,N,1,PALLEVELUGU,NGRM-WGL,14,0
12444,MAHABOOBABAD,10-09-2023,651803,AP36Z0165,OR,GN03,360,11834,N,1,PALLEVELUGU,NGRM-WGL,14,0
12445,MAHABOOBABAD,13-09-2023,651803,AP36Z0165,OR,GN03,360,16976,N,1,PALLEVELUGU,NGRM-WGL,14,0
12446,MAHABOOBABAD,17-09-2023,651803,AP36Z0030,OR,GN03,360,13014,N,1,PALLEVELUGU,NGRM-WGL,14,0
12447,MAHABOOBABAD,20-09-2023,651803,AP36Z0030,OR,GN03,360,12810,N,1,PALLEVELUGU,NGRM-WGL,14,0
12448,MAHABOOBABAD,24-09-2023,651803,AP36Z0165,OR,GN03,360,13110,N,1,PALLEVELUGU,NGRM-WGL,14,0
12449,MAHABOOBABAD,27-09-2023,651803,AP36Z0165,OR,GN03,360,13896,N,1,PALLEVELUGU,NGRM-WGL,14,0
12450,MAHABOOBABAD,01-10-2023,651803,AP36Z0165,OR,GN03,360,12526,N,1,PALLEVELUGU,NGRM-WGL,14,0
12451,MAHABOOBABAD,04-10-2023,651803,AP36Z0030,OR,GN03,360,17862,N,1,PALLEVELUGU,NGRM-WGL,14,0
12452,MAHABOOBABAD,08-10-2023,651803,AP36Z0165,OR,GN03,360,12578,N,1,PALLEVELUGU,NGRM-WGL,14,0
12453,MAHABOOBABAD,11-10-2023,651803,AP36Z0018,OR,GN03,360,13990,N,1,PALLEVELUGU,NGRM-WGL,14,0
12454,MAHABOOBABAD,15-10-2023,651803,AP36Z0030,OR,GN03,360,11568,N,1,PALLEVELUGU,NGRM-WGL,14,0
12455,MAHABOOBABAD,18-10-2023,651803,AP36Z0165,OR,GN03,360,13922,N,1,PALLEVELUGU,NGRM-WGL,14,0
12456,MAHABOOBABAD,22-10-2023,651803,AP36Z0165,OR,GN03,360,15474,N,1,PALLEVELUGU,NGRM-WGL,14,0
12457,MAHABOOBABAD,25-10-2023,651803,AP36Z0030,OR,GN03,360,15628,N,1,PALLEVELUGU,NGRM-WGL,14,0
12458,MAHABOOBABAD,01-11-2023,651803,AP36Z0011,OR,GN03,360,12628,N,1,PALLEVELUGU,NGRM-WGL,14,0
12459,MAHABOOBABAD,05-11-2023,651803,AP36Z0165,OR,GN03,360,11130,N,1,PALLEVELUGU,NGRM-WGL,14,0
12460,MAHABOOBABAD,08-11-2023,651803,AP36Z0165,OR,GN03,360,14704,N,1,PALLEVELUGU,NGRM-WGL,14,0
12461,MAHABOOBABAD,12-11-2023,651803,AP36Z0165,OR,GN03,360,13738,N,1,PALLEVELUGU,NGRM-WGL,14,0
12462,MAHABOOBABAD,15-11-2023,651803,AP36Z0165,OR,GN03,360,14406,N,1,PALLEVELUGU,NGRM-WGL,14,0
12463,MAHABOOBABAD,19-11-2023,651803,AP36Z0030,OR,GN03,360,11928,N,1,PALLEVELUGU,NGRM-WGL,14,0
12464,MAHABOOBABAD,22-11-2023,651803,AP36Z0031,OR,GN03,360,13486,N,1,PALLEVELUGU,NGRM-WGL,14,0
12465,MAHABOOBABAD,26-11-2023,651803,AP36Z0031,OR,GN03,360,11356,N,1,PALLEVELUGU,NGRM-WGL,14,0
12466,MAHABOOBABAD,29-11-2023,651803,AP36Z0031,OR,GN03,360,14416,N,1,PALLEVELUGU,NGRM-WGL,14,0
12467,MAHABOOBABAD,03-12-2023,651803,AP36Z0031,OR,GN03,360,13748,N,1,PALLEVELUGU,NGRM-WGL,14,0
12468,MAHABOOBABAD,06-12-2023,651803,AP36Z0031,OR,GN03,360,10894,N,1,PALLEVELUGU,NGRM-WGL,14,0
12469,MAHABOOBABAD,10-12-2023,651803,AP36Z0030,OR,GN03,360,7486,N,1,PALLEVELUGU,NGRM-WGL,14,0
12470,MAHABOOBABAD,13-12-2023,651803,AP36Z0151,OR,INW1,380,8590,N,1,PALLEVELUGU,ING/WGL,14,0
12471,MAHABOOBABAD,17-12-2023,651803,AP36Z0030,OR,GN03,360,16222,N,1,PALLEVELUGU,NGRM-WGL,14,0
12472,MAHABOOBABAD,20-12-2023,651803,AP36Z0030,OR,GN03,360,15656,N,1,PALLEVELUGU,NGRM-WGL,14,0
12473,MAHABOOBABAD,27-12-2023,651803,AP36Z0031,OR,GN03,360,19426,N,1,PALLEVELUGU,NGRM-WGL,14,0
12474,MAHABOOBABAD,31-12-2023,651803,AP36Z0031,OR,GN03,360,18236,N,1,PALLEVELUGU,NGRM-WGL,14,0
12475,MAHABOOBABAD,03-01-2024,651803,AP36Z0031,OR,GN03,360,20844,N,1,PALLEVELUGU,NGRM-WGL,14,0
12476,MAHABOOBABAD,07-01-2024,651803,AP36Z0031,OR,GN03,360,17794,N,1,PALLEVELUGU,NGRM-WGL,14,0
12477,MAHABOOBABAD,10-01-2024,651803,AP36Z0031,OR,GN03,360,17492,N,1,PALLEVELUGU,NGRM-WGL,14,0
12478,MAHABOOBABAD,14-01-2024,651803,AP36Z0031,OR,GN03,360,13796,N,1,PALLEVELUGU,NGRM-WGL,14,0
12479,MAHABOOBABAD,17-01-2024,651803,AP36Z0031,OR,GN03,360,28196,N,1,PALLEVELUGU,NGRM-WGL,14,0
12480,MAHABOOBABAD,24-01-2024,651803,AP36Z0031,OR,GN03,360,14058,N,1,PALLEVELUGU,NGRM-WGL,14,0
12481,MAHABOOBABAD,28-01-2024,651803,AP36Z0031,OR,GN03,360,15634,N,1,PALLEVELUGU,NGRM-WGL,14,0
12482,MAHABOOBABAD,31-01-2024,651803,AP36Z0031,OR,GN03,360,17210,N,1,PALLEVELUGU,NGRM-WGL,14,0
12483,MAHABOOBABAD,04-02-2024,651803,AP36Z0031,OR,GN03,360,17840,N,1,PALLEVELUGU,NGRM-WGL,14,0
12484,MAHABOOBABAD,07-02-2024,651803,AP36Z0031,OR,GN03,360,16534,N,1,PALLEVELUGU,NGRM-WGL,14,0
12485,MAHABOOBABAD,11-02-2024,651803,AP36Z0031,OR,GN03,360,20588,N,1,PALLEVELUGU,NGRM-WGL,14,0
12486,MAHABOOBABAD,14-02-2024,651803,AP36Z0031,OR,GN03,360,21286,N,1,PALLEVELUGU,NGRM-WGL,14,0
12487,MAHABOOBABAD,18-02-2024,651803,AP36Z0031,OR,GN03,310,14258,N,1,PALLEVELUGU,NGRM-WGL,14,0
12488,MAHABOOBABAD,25-02-2024,651803,AP36Z0031,OR,GN03,360,16829,N,1,PALLEVELUGU,NGRM-WGL,14,0
12489,MAHABOOBABAD,27-02-2024,651803,AP36Z0031,OR,GN03,370,18828,N,1,PALLEVELUGU,NGRM-WGL,14,0
12490,MAHABOOBABAD,28-02-2024,651803,AP36Z0031,OR,GN03,370,17232,N,1,PALLEVELUGU,NGRM-WGL,14,0
12491,MAHABOOBABAD,06-03-2024,651803,AP36Z0031,OR,GN03,360,15096,N,1,PALLEVELUGU,NGRM-WGL,14,0
12492,MAHABOOBABAD,10-03-2024,651803,AP36Z0031,OR,GN03,360,15166,N,1,PALLEVELUGU,NGRM-WGL,14,0
12493,MAHABOOBABAD,13-03-2024,651803,AP36Z0031,OR,GN03,360,18284,N,1,PALLEVELUGU,NGRM-WGL,14,0
12494,MAHABOOBABAD,17-03-2024,651803,AP36Z0031,OR,GN03,360,16698,N,1,PALLEVELUGU,NGRM-WGL,14,0
12495,MAHABOOBABAD,20-03-2024,651803,AP29Z3151,OR,GN03,360,17806,N,1,PALLEVELUGU,NGRM-WGL,14,0
12496,MAHABOOBABAD,24-03-2024,651803,AP36Z0031,OR,GN03,360,19282,N,1,PALLEVELUGU,NGRM-WGL,14,0
12497,MAHABOOBABAD,27-03-2024,651803,AP36Z0031,OR,GN03,360,18892,N,1,PALLEVELUGU,NGRM-WGL,14,0
12498,MAHABOOBABAD,31-03-2024,651803,AP36Z0031,OR,GN03,360,21838,N,1,PALLEVELUGU,NGRM-WGL,14,0
12499,MAHABOOBABAD,01-06-2023,651928,AP29Z3151,OR,9011,420,15248,N,1,PALLEVELUGU,EXTRA,14,0
12500,MAHABOOBABAD,11-09-2023,651934,TS26Z0035,OR,9031,464,20392,N,0,PALLEVELUGU,EXTRA,14,0
12501,MAHABOOBABAD,13-08-2023,652176,AP36Z0259,OR,9035,464,16094,N,0,PALLEVELUGU,EXTRA,14,0
12502,MAHABOOBABAD,06-04-2023,652345,AP36Z0174,OR,KM22,420,17114,N,1,PALLEVELUGU,MHBD-KMM,14,0
12503,MAHABOOBABAD,10-04-2023,652345,AP36Z0174,OR,KM22,420,14304,N,1,PALLEVELUGU,MHBD-KMM,14,0
12504,MAHABOOBABAD,13-04-2023,652345,AP36Z0174,OR,KM22,420,14032,N,1,PALLEVELUGU,MHBD-KMM,14,0
12505,MAHABOOBABAD,17-04-2023,652345,AP36Z0174,OR,KM22,420,16846,N,1,PALLEVELUGU,MHBD-KMM,14,0
12506,MAHABOOBABAD,20-04-2023,652345,AP36Z0174,OR,KM22,420,14170,N,1,PALLEVELUGU,MHBD-KMM,14,0
12507,MAHABOOBABAD,24-04-2023,652345,AP36Z0174,OR,KM22,420,12892,N,1,PALLEVELUGU,MHBD-KMM,14,0
12508,MAHABOOBABAD,27-04-2023,652345,AP36Z0174,OR,KM22,420,14006,N,1,PALLEVELUGU,MHBD-KMM,14,0
12509,MAHABOOBABAD,01-05-2023,652345,AP36Z0174,OR,KM22,420,12366,N,1,PALLEVELUGU,MHBD-KMM,14,0
12510,MAHABOOBABAD,04-05-2023,652345,AP36Z0174,OR,KM22,420,19846,N,1,PALLEVELUGU,MHBD-KMM,14,0
12511,MAHABOOBABAD,08-05-2023,652345,AP36Z0174,OR,KM22,420,17168,N,1,PALLEVELUGU,MHBD-KMM,14,0
12512,MAHABOOBABAD,11-05-2023,652345,AP36Z0174,OR,KM22,420,12948,N,1,PALLEVELUGU,MHBD-KMM,14,0
12513,MAHABOOBABAD,15-05-2023,652345,AP36Z0174,OR,KM22,420,18532,N,1,PALLEVELUGU,MHBD-KMM,14,0
12514,MAHABOOBABAD,18-05-2023,652345,AP36Z0174,OR,KM22,420,10956,N,1,PALLEVELUGU,MHBD-KMM,14,0
12515,MAHABOOBABAD,22-05-2023,652345,AP36Z0174,OR,KM22,400,19326,N,1,PALLEVELUGU,MHBD-KMM,14,0
12516,MAHABOOBABAD,25-05-2023,652345,AP36Z0174,OR,KM22,420,17348,N,1,PALLEVELUGU,MHBD-KMM,14,0
12517,MAHABOOBABAD,29-05-2023,652345,AP36Z0174,OR,KM22,400,16286,N,1,PALLEVELUGU,MHBD-KMM,14,0
12518,MAHABOOBABAD,01-06-2023,652345,AP36Z0174,OR,KM22,410,23134,N,1,PALLEVELUGU,MHBD-KMM,14,0
12519,MAHABOOBABAD,03-06-2023,652345,AP36Z0151,OR,INW1,380,18350,N,1,PALLEVELUGU,ING/WGL,14,1
12520,MAHABOOBABAD,05-06-2023,652345,AP36Z0174,OR,KM22,400,18198,N,1,PALLEVELUGU,MHBD-KMM,14,0
12521,MAHABOOBABAD,08-06-2023,652345,AP36Z0174,OR,KM22,420,25786,N,1,PALLEVELUGU,MHBD-KMM,14,0
12522,MAHABOOBABAD,12-06-2023,652345,AP36Z0174,OR,KM22,410,19834,N,1,PALLEVELUGU,MHBD-KMM,14,0
12523,MAHABOOBABAD,19-06-2023,652345,AP36Z0174,OR,KM22,400,16890,N,1,PALLEVELUGU,MHBD-KMM,14,0
12524,MAHABOOBABAD,22-06-2023,652345,AP36Z0174,OR,KM22,410,15878,N,1,PALLEVELUGU,MHBD-KMM,14,0
12525,MAHABOOBABAD,26-06-2023,652345,AP36Z0174,OR,KM22,400,14404,N,1,PALLEVELUGU,MHBD-KMM,14,0
12526,MAHABOOBABAD,29-06-2023,652345,AP36Z0174,OR,KM22,410,13134,N,1,PALLEVELUGU,MHBD-KMM,14,0
12527,MAHABOOBABAD,03-07-2023,652345,AP36Z0174,OR,KM22,400,19118,N,1,PALLEVELUGU,MHBD-KMM,14,0
12528,MAHABOOBABAD,06-07-2023,652345,AP36Z0174,OR,KM22,410,18766,N,1,PALLEVELUGU,MHBD-KMM,14,0
12529,MAHABOOBABAD,12-07-2023,652345,AP36Z0174,OR,KM22,410,14958,N,1,PALLEVELUGU,MHBD-KMM,14,0
12530,MAHABOOBABAD,14-07-2023,652345,AP36Z0174,OR,KM22,420,14108,N,1,PALLEVELUGU,MHBD-KMM,14,1
12531,MAHABOOBABAD,17-07-2023,652345,AP36Z0174,OR,KM22,420,14530,N,1,PALLEVELUGU,MHBD-KMM,14,0
12532,MAHABOOBABAD,20-07-2023,652345,AP36Z0174,OR,KM22,410,12254,N,1,PALLEVELUGU,MHBD-KMM,14,0
12533,MAHABOOBABAD,24-07-2023,652345,AP36Z0174,OR,KM22,410,16070,N,1,PALLEVELUGU,MHBD-KMM,14,0
12534,MAHABOOBABAD,27-07-2023,652345,AP36Z0174,OR,KM22,300,5818,N,1,PALLEVELUGU,MHBD-KMM,14,0
12535,MAHABOOBABAD,01-08-2023,652345,AP36Z0174,OR,KM22,400,11252,N,1,PALLEVELUGU,MHBD-KMM,14,0
12536,MAHABOOBABAD,03-08-2023,652345,AP36Z0174,OR,KM22,410,13674,N,1,PALLEVELUGU,MHBD-KMM,14,0
12537,MAHABOOBABAD,07-08-2023,652345,AP36Z0174,OR,KM22,410,15652,N,1,PALLEVELUGU,MHBD-KMM,14,0
12538,MAHABOOBABAD,14-08-2023,652345,AP36Z0174,OR,KM22,410,14876,N,1,PALLEVELUGU,MHBD-KMM,14,0
12539,MAHABOOBABAD,17-08-2023,652345,AP36Z0174,OR,KM22,410,15522,N,1,PALLEVELUGU,MHBD-KMM,14,0
12540,MAHABOOBABAD,21-08-2023,652345,AP36Z0174,OR,KM22,410,15344,N,1,PALLEVELUGU,MHBD-KMM,14,0
12541,MAHABOOBABAD,31-08-2023,652345,AP36Z0174,OR,KM22,400,25436,N,1,PALLEVELUGU,MHBD-KMM,14,0
12542,MAHABOOBABAD,18-09-2023,652345,AP36Z0174,OR,KM22,400,10952,N,1,PALLEVELUGU,MHBD-KMM,14,0
12543,MAHABOOBABAD,21-09-2023,652345,AP36Z0174,OR,KM22,410,13224,N,1,PALLEVELUGU,MHBD-KMM,14,0
12544,MAHABOOBABAD,25-09-2023,652345,AP36Z0174,OR,KM22,400,13516,N,1,PALLEVELUGU,MHBD-KMM,14,0
12545,MAHABOOBABAD,28-09-2023,652345,AP36Z0174,OR,KM22,400,13804,N,1,PALLEVELUGU,MHBD-KMM,14,0
12546,MAHABOOBABAD,02-10-2023,652345,AP36Z0174,OR,KM22,300,9944,N,1,PALLEVELUGU,MHBD-KMM,14,0
12547,MAHABOOBABAD,05-10-2023,652345,AP36Z0174,OR,KM22,410,12296,N,1,PALLEVELUGU,MHBD-KMM,14,0
12548,MAHABOOBABAD,09-10-2023,652345,AP36Z0174,OR,KM22,410,15962,N,1,PALLEVELUGU,MHBD-KMM,14,0
12549,MAHABOOBABAD,12-10-2023,652345,AP36Z0174,OR,KM22,410,12992,N,1,PALLEVELUGU,MHBD-KMM,14,0
12550,MAHABOOBABAD,16-10-2023,652345,AP36Z0174,OR,KM22,410,11006,N,1,PALLEVELUGU,MHBD-KMM,14,0
12551,MAHABOOBABAD,19-10-2023,652345,AP36Z0174,OR,KM22,400,13818,N,1,PALLEVELUGU,MHBD-KMM,14,0
12552,MAHABOOBABAD,23-10-2023,652345,AP29Z1741,OR,KM22,300,10912,N,1,PALLEVELUGU,MHBD-KMM,14,0
12553,MAHABOOBABAD,26-10-2023,652345,AP36Z0174,OR,KM22,405,20252,N,1,PALLEVELUGU,MHBD-KMM,14,0
12554,MAHABOOBABAD,30-10-2023,652345,AP36Z0174,OR,KM22,410,12818,N,1,PALLEVELUGU,MHBD-KMM,14,0
12555,MAHABOOBABAD,02-11-2023,652345,AP36Z0174,OR,KM22,405,15170,N,1,PALLEVELUGU,MHBD-KMM,14,0
12556,MAHABOOBABAD,06-11-2023,652345,AP36Z0174,OR,KM22,410,13930,N,1,PALLEVELUGU,MHBD-KMM,14,0
12557,MAHABOOBABAD,09-11-2023,652345,AP36Z0174,OR,KM22,400,14400,N,1,PALLEVELUGU,MHBD-KMM,14,0
12558,MAHABOOBABAD,14-11-2023,652345,TS26Z0032,OR,9031,446,17632,N,0,PALLEVELUGU,EXTRA,14,0
12559,MAHABOOBABAD,16-11-2023,652345,AP36Z0174,OR,KM22,400,13586,N,1,PALLEVELUGU,MHBD-KMM,14,0
12560,MAHABOOBABAD,20-11-2023,652345,AP36Z0174,OR,KM22,410,16492,N,1,PALLEVELUGU,MHBD-KMM,14,0
12561,MAHABOOBABAD,23-11-2023,652345,AP36Z0174,OR,KM22,400,12468,N,1,PALLEVELUGU,MHBD-KMM,14,0
12562,MAHABOOBABAD,27-11-2023,652345,AP36Z0174,OR,KM22,410,15064,N,1,PALLEVELUGU,MHBD-KMM,14,0
12563,MAHABOOBABAD,30-11-2023,652345,AP36Z0174,OR,KM22,400,24230,N,1,PALLEVELUGU,MHBD-KMM,14,1
12564,MAHABOOBABAD,04-12-2023,652345,AP36Z0174,OR,KM22,410,12642,N,1,PALLEVELUGU,MHBD-KMM,14,0
12565,MAHABOOBABAD,07-12-2023,652345,AP36Z0174,OR,KM22,400,15290,N,1,PALLEVELUGU,MHBD-KMM,14,0
12566,MAHABOOBABAD,11-12-2023,652345,AP36Z0174,OR,KM22,410,12792,N,1,PALLEVELUGU,MHBD-KMM,14,0
12567,MAHABOOBABAD,14-12-2023,652345,AP36Z0174,OR,KM22,400,10584,N,1,PALLEVELUGU,MHBD-KMM,14,0
12568,MAHABOOBABAD,18-12-2023,652345,AP36Z0174,OR,KM22,400,26188,N,1,PALLEVELUGU,MHBD-KMM,14,0
12569,MAHABOOBABAD,21-12-2023,652345,AP36Z0174,OR,KM22,400,17656,N,1,PALLEVELUGU,MHBD-KMM,14,0
12570,MAHABOOBABAD,25-12-2023,652345,AP36Z0174,OR,KM22,410,23060,N,1,PALLEVELUGU,MHBD-KMM,14,0
12571,MAHABOOBABAD,28-12-2023,652345,AP36Z0174,OR,KM22,400,22186,N,1,PALLEVELUGU,MHBD-KMM,14,0
12572,MAHABOOBABAD,01-01-2024,652345,AP36Z0174,OR,KM22,410,17154,N,1,PALLEVELUGU,MHBD-KMM,14,0
12573,MAHABOOBABAD,04-01-2024,652345,AP36Z0174,OR,KM22,400,20584,N,1,PALLEVELUGU,MHBD-KMM,14,0
12574,MAHABOOBABAD,08-01-2024,652345,AP36Z0174,OR,KM22,410,19984,N,1,PALLEVELUGU,MHBD-KMM,14,0
12575,MAHABOOBABAD,11-01-2024,652345,AP36Z0174,OR,KM22,400,14468,N,1,PALLEVELUGU,MHBD-KMM,14,0
12576,MAHABOOBABAD,15-01-2024,652345,AP36Z0174,OR,KM22,410,15026,N,1,PALLEVELUGU,MHBD-KMM,14,0
12577,MAHABOOBABAD,18-01-2024,652345,AP36Z0174,OR,KM22,400,24536,N,1,PALLEVELUGU,MHBD-KMM,14,0
12578,MAHABOOBABAD,25-01-2024,652345,AP36Z0174,OR,KM22,400,17084,N,1,PALLEVELUGU,MHBD-KMM,14,0
12579,MAHABOOBABAD,29-01-2024,652345,AP36Z0174,OR,KM22,410,15930,N,1,PALLEVELUGU,MHBD-KMM,14,0
12580,MAHABOOBABAD,05-02-2024,652345,AP36Z0174,OR,KM22,400,19828,N,1,PALLEVELUGU,MHBD-KMM,14,0
12581,MAHABOOBABAD,08-02-2024,652345,AP36Z0174,OR,KM22,400,19846,N,1,PALLEVELUGU,MHBD-KMM,14,0
12582,MAHABOOBABAD,12-02-2024,652345,AP36Z0174,OR,KM22,410,26236,N,1,PALLEVELUGU,MHBD-KMM,14,0
12583,MAHABOOBABAD,15-02-2024,652345,AP36Z0174,OR,KM22,400,23296,N,1,PALLEVELUGU,MHBD-KMM,14,0
12584,MAHABOOBABAD,29-02-2024,652345,AP36Z0174,OR,KM22,400,18654,N,1,PALLEVELUGU,MHBD-KMM,14,0
12585,MAHABOOBABAD,04-03-2024,652345,AP36Z0174,OR,KM22,410,18334,N,1,PALLEVELUGU,MHBD-KMM,14,0
12586,MAHABOOBABAD,11-03-2024,652345,AP36Z0174,OR,KM22,410,26274,N,1,PALLEVELUGU,MHBD-KMM,14,0
12587,MAHABOOBABAD,18-03-2024,652345,AP36Z0174,OR,KM22,410,26834,N,1,PALLEVELUGU,MHBD-KMM,14,0
12588,MAHABOOBABAD,21-03-2024,652345,AP36Z0174,OR,KM22,410,19866,N,1,PALLEVELUGU,MHBD-KMM,14,0
12589,MAHABOOBABAD,25-03-2024,652345,AP36Z0174,OR,KM22,100,1842,N,1,PALLEVELUGU,MHBD-KMM,14,0
12590,MAHABOOBABAD,03-04-2023,652350,AP36Z0030,OR,GN03,360,11892,N,1,PALLEVELUGU,NGRM-WGL,14,0
12591,MAHABOOBABAD,06-04-2023,652350,AP36Z0030,OR,GN03,370,12698,N,1,PALLEVELUGU,NGRM-WGL,14,0
12592,MAHABOOBABAD,10-04-2023,652350,AP36Z0030,OR,GN03,370,16426,N,1,PALLEVELUGU,NGRM-WGL,14,0
12593,MAHABOOBABAD,13-04-2023,652350,AP36Z0031,OR,GN03,370,10706,N,1,PALLEVELUGU,NGRM-WGL,14,0
12594,MAHABOOBABAD,17-04-2023,652350,AP36Z0030,OR,GN03,380,13458,N,1,PALLEVELUGU,NGRM-WGL,14,0
12595,MAHABOOBABAD,20-04-2023,652350,AP36Z0030,OR,GN03,380,10588,N,1,PALLEVELUGU,NGRM-WGL,14,0
12596,MAHABOOBABAD,23-04-2023,652350,TS26Z0035,OR,9031,564,17976,N,1,PALLEVELUGU,EXTRA,14,0
12597,MAHABOOBABAD,25-04-2023,652350,AP36Z0259,OR,RHY1,564,25100,N,1,PALLEVELUGU,TUNG-HYD,14,0
12598,MAHABOOBABAD,27-04-2023,652350,AP36Z0030,OR,GN03,370,13854,N,1,PALLEVELUGU,NGRM-WGL,14,0
12599,MAHABOOBABAD,01-05-2023,652350,AP36Z0030,OR,GN03,360,11200,N,1,PALLEVELUGU,NGRM-WGL,14,0
12600,MAHABOOBABAD,04-05-2023,652350,AP29Z2172,OR,GN03,360,10980,N,1,PALLEVELUGU,NGRM-WGL,14,0
12601,MAHABOOBABAD,07-05-2023,652350,AP29Z2172,OR,9032,516,17070,N,1,PALLEVELUGU,EXTRA,14,0
12602,MAHABOOBABAD,09-05-2023,652350,AP29Z2172,OR,9032,516,13876,N,1,PALLEVELUGU,EXTRA,14,0
12603,MAHABOOBABAD,11-05-2023,652350,AP36Z0030,OR,GN03,370,14854,N,1,PALLEVELUGU,NGRM-WGL,14,0
12604,MAHABOOBABAD,12-05-2023,652350,TS26Z0032,OR,9031,540,19428,N,1,PALLEVELUGU,EXTRA,14,0
12605,MAHABOOBABAD,15-05-2023,652350,TS26Z0035,EX,JGT4,535,24248,N,1,EXPRESS,TRR/JGT,14,0
12606,MAHABOOBABAD,17-05-2023,652350,AP36Z0258,OR,9031,524,13628,N,1,PALLEVELUGU,EXTRA,14,0
12607,MAHABOOBABAD,18-05-2023,652350,AP36Z0151,OR,INW1,380,16022,N,1,PALLEVELUGU,ING/WGL,14,1
12608,MAHABOOBABAD,21-05-2023,652350,AP36Z0151,OR,INW1,380,15028,N,1,PALLEVELUGU,ING/WGL,14,0
12609,MAHABOOBABAD,22-05-2023,652350,AP36Z0030,OR,GN03,360,17236,N,1,PALLEVELUGU,NGRM-WGL,14,1
12610,MAHABOOBABAD,25-05-2023,652350,AP36Z0030,OR,GN03,360,14838,N,1,PALLEVELUGU,NGRM-WGL,14,0
12611,MAHABOOBABAD,27-05-2023,652350,AP36Z0030,OR,GN03,370,13300,N,1,PALLEVELUGU,NGRM-WGL,14,1
12612,MAHABOOBABAD,28-05-2023,652350,AP36Z0151,OR,INW1,380,15718,N,1,PALLEVELUGU,ING/WGL,14,1
12613,MAHABOOBABAD,31-05-2023,652350,AP36Z0246,OR,9034,464,19938,N,1,PALLEVELUGU,EXTRA,14,0
12614,MAHABOOBABAD,01-06-2023,652350,AP36Z0030,OR,GN03,360,21102,N,1,PALLEVELUGU,NGRM-WGL,14,1
12615,MAHABOOBABAD,04-06-2023,652350,TS26Z0035,OR,9032,464,18628,N,1,PALLEVELUGU,EXTRA,14,0
12616,MAHABOOBABAD,06-06-2023,652350,TS26Z0035,EX,JGT4,535,31252,N,1,EXPRESS,TRR/JGT,14,0
12617,MAHABOOBABAD,08-06-2023,652350,AP36Z0030,OR,GN03,370,21052,N,1,PALLEVELUGU,NGRM-WGL,14,0
12618,MAHABOOBABAD,10-06-2023,652350,AP36Z0030,OR,GN03,360,18460,N,1,PALLEVELUGU,NGRM-WGL,14,1
12619,MAHABOOBABAD,12-06-2023,652350,AP36Z0030,OR,GN03,360,22572,N,1,PALLEVELUGU,NGRM-WGL,14,0
12620,MAHABOOBABAD,13-06-2023,652350,AP36Z0030,OR,GN03,360,16470,N,1,PALLEVELUGU,NGRM-WGL,14,1
